Category,Type,File,Line,Code
"testErrors","Disabled Test (xit)","scripts/deploy-db-verify.ts",274,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/deploy-db-verify.ts",277,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/deploy-db-verify.ts",310,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/property-owner-verification.js",372,"process.exit(percentage >= 80 ? 0 : 1);"
"testErrors","Disabled Test (xit)","scripts/scan-hex.js",107,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/scan-hex.js",163,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/scan-hex.js",216,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/seed-cms.js",198,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/seed-cms.js",201,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/auto-enhance-routes.js",170,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/security-audit.js",209,"process.exit(auditResults.criticalIssues > 0 ? 1 : 0);"
"testErrors","Disabled Test (xit)","scripts/verify-routes.ts",47,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/test-mongo-connection.ts",104,"process.exit(results.success ? 0 : 1);"
"testErrors","Disabled Test (xit)","scripts/verification-checkpoint.js",215,"process.exit(result ? 0 : 1);"
"testErrors","Disabled Test (xit)","scripts/test-data.js",75,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/test-data.js",78,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/unified-audit-system.js",802,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/test-server.js",62,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/seed-subscriptions.ts",124,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/seed-db.js",18,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/seed-db.js",22,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/verify-sanitize-and-signed-urls.ts",21,"run().catch((e) => { console.error(e); process.exit(1); });"
"testErrors","Disabled Test (xit)","scripts/server.js",98,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/server.js",108,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/server.js",303,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/kb-change-stream.ts",58,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/seed-realdb.ts",125,"main().then(() => process.exit(0)).catch((err) => {"
"testErrors","Disabled Test (xit)","scripts/seed-realdb.ts",127,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/scanner.js",117,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/scanner.js",772,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/scanner.js",775,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/seed-users.ts",267,"seedUsers().then(() => process.exit(0)).catch(() => process.exit(1));"
"testErrors","Disabled Test (xit)","scripts/seed-users.ts",267,"seedUsers().then(() => process.exit(0)).catch(() => process.exit(1));"
"testErrors","Disabled Test (xit)","scripts/test-auth-config.js",47,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/test-auth-config.js",50,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/enhance-api-routes.js",356,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/verify.ts",28,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/create-test-data.js",24,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/create-test-data.js",136,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/create-test-data.js",139,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/add-database-indexes.js",163,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/add-database-indexes.js",167,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/seedData.js",23,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/seedData.js",297,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/production-check.js",206,"process.exit(ready ? 0 : 1);"
"testErrors","Disabled Test (xit)","scripts/setup-indexes.ts",8,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/setup-indexes.ts",12,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/setup-indexes.ts",15,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/seedMarketplace.ts",149,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/seedMarketplace.ts",154,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/test-all.ts",102,"process.exit(success ? 0 : 1);"
"testErrors","Disabled Test (xit)","scripts/test-mongodb-atlas.js",14,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/test-mongodb-atlas.js",53,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/seed-aqar-properties.ts",58,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/seed-aqar-properties.ts",61,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/fix-null-property-codes.js",69,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/fix-null-property-codes.js",73,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/fix-duplicate-keys.js",142,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/copilot-index.ts",78,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/copilot-index.ts",86,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/fix-workorder-index.js",91,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/fix-workorder-index.js",103,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/fix-workorder-index.js",106,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/security-migration.js",393,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/create-project-text-index.js",59,"process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/verify-api.ts",27,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/verify-api.ts",47,"if (failures) process.exit(1);"
"testErrors","Disabled Test (xit)","scripts/mongo-check.ts",4,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/mongo-check.ts",19,"process.exit(1);"
"testErrors","Skipped Test","app/api/tenants/route.ts",156,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/invoices/route.ts",246,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/work-orders/route.ts",112,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/vendors/route.ts",150,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/properties/route.ts",177,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/assets/route.ts",172,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/projects/route.ts",151,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/ats/jobs/route.ts",57,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/slas/route.ts",201,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/marketplace/products/route.ts",74,"Product.find({ orgId: context.orgId }).sort({ createdAt: -1 }).skip(skip).limit(query.limit).lean(),"
"testErrors","Skipped Test","app/api/rfqs/route.ts",185,".skip((page - 1) * limit)"
"testErrors","Skipped Test","app/api/public/rfqs/route.test.ts",18,"// - RFQ.find(...).sort(...).skip(...).limit(...).lean()"
"testErrors","Skipped Test","app/api/public/rfqs/route.ts",87,".skip(skip)"
"testErrors","Skipped Test","app/api/aqar/properties/route.ts",99,"const cursor = col.find(filter, { projection }).sort(sortStage).skip(skip).limit(pageSize);"
"testErrors","Skipped Test","app/api/notifications/route.ts",83,"notifications.find(filter).sort({ timestamp: -1 }).skip(skip).limit(limit).toArray(),"
"testErrors","Skipped Test","app/api/support/tickets/route.ts",111,"SupportTicket.find(match).sort({ createdAt: -1 }).skip((page-1)*limit).limit(limit),"
"testErrors","Skipped Test","app/api/help/articles/route.ts",129,".skip(skip)"
"testErrors","Skipped Test","app/api/help/articles/route.ts",146,".skip(skip)"
"testErrors","Skipped Test","app/api/help/articles/route.ts",156,".skip(skip)"
"testErrors","Disabled Test (xit)","test-e2e-comprehensive.js",216,"process.exit(failedTests > 0 ? 1 : 0);"
"testErrors","Disabled Test (xit)","test-e2e-comprehensive.js",221,"process.exit(1);"
"testErrors","Disabled Test (xit)","test_mongodb.js",43,"testMongoConnection().then(success => process.exit(success ? 0 : 1));"
"testErrors","Disabled Test (xit)","test-auth.js",227,"process.exit(failed === 0 ? 0 : 1);"
"testErrors","Disabled Test (xit)","test-auth.js",233,"process.exit(1);"
"testErrors","Disabled Test (xit)","test-mongodb-comprehensive.js",206,"process.exit(1);"
"testErrors","Disabled Test (xit)","test-mongodb-comprehensive.js",225,"process.exit(0);"
"testErrors","Disabled Test (xit)","test-mongodb-comprehensive.js",230,"process.exit(1);"
"testErrors","Disabled Test (xit)","tools/wo-smoke.ts",78,"process.exit(1);"
"lintErrors","Console Statement","fix-imports.js",4,"console.log(""�� Starting import path fixes..."");"
"lintErrors","Console Statement","fix-imports.js",23,"console.log(`✅ Fixed ${oldPath} → ${newPath}`);"
"lintErrors","Console Statement","fix-imports.js",29,"console.log(""✅ File updated successfully!"");"
"lintErrors","Console Statement","fix-imports.js",31,"console.log(""ℹ️ No changes needed in test file"");"
"lintErrors","Console Statement","fix-imports.js",34,"console.log(""File not found for testing"");"
"lintErrors","Console Statement","create-guardrails.js",8,"console.log('Created:', file);"
"lintErrors","Console Statement","create-guardrails.js",11,"console.log('Setting up guardrails...\n');"
"lintErrors","Console Statement","create-guardrails.js",25,"console.log('Updated: package.json\n');"
"lintErrors","Console Statement","create-guardrails.js",29,"write('scripts/dedup/consolidate.ts', '#!/usr/bin/env tsx\nconst DRY = process.argv.includes(\""--dry\"");\nconsole.log(DRY ? \""DRY RUN\"" : \""APPLYING\"""
"lintErrors","Console Statement","create-guardrails.js",30,"write('scripts/ui/ui_freeze_check.ts', '#!/usr/bin/env tsx\nimport fs from \""fs\"";\nif (fs.existsSync(\""app/layout.tsx\"")) console.log(\""OK\"");');"
"lintErrors","Console Statement","create-guardrails.js",31,"write('scripts/sidebar/snapshot_check.ts', '#!/usr/bin/env tsx\nimport fs from \""fs\"";\nconst snap = \""config/sidebar.snapshot.json\"";\nif (!fs.exist"
"lintErrors","Console Statement","create-guardrails.js",32,"write('scripts/i18n/check_language_selector.ts', '#!/usr/bin/env tsx\nconsole.log(\""Language selector OK\"");');"
"lintErrors","Console Statement","create-guardrails.js",48,"console.log('\nAll files created successfully!');"
"lintErrors","Console Statement","components/ErrorTest.tsx",31,"console.warn('Unable to verify user role for QA tools:', error);"
"lintErrors","Console Statement","components/ErrorTest.tsx",51,"console.warn('Unable to initialize QA error test tools:', error);"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",75,"console.log('🔧 Auto-fixing JSON parsing error...');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",90,"console.log('⚠️ JSON fix fallback triggered');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",100,"console.log('🔧 Auto-fixing module resolution...');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",122,"console.log('⚠️ Module fix fallback triggered');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",132,"console.log('🔧 Auto-fixing network error...');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",150,"console.log('⚠️ Network fix fallback triggered');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",160,"console.log('🔧 Auto-fixing hydration error...');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",172,"console.log('⚠️ Hydration fix fallback triggered');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",182,"console.log('🔧 Auto-fixing runtime error...');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",201,"console.log('⚠️ Runtime fix fallback triggered');"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",289,"console.log('🤖 Attempting auto-fix for:', error.message);"
"lintErrors","Console Statement","components/ErrorBoundary.tsx",293,"console.log(`🔧 Applying ${fix.type} fix...`);"
"lintErrors","Console Statement","components/ClientLayout.tsx",32,"console.warn('Translation context not available in ClientLayout:', error);"
"lintErrors","ESLint Disabled","components/CopilotWidget.tsx",101,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lintErrors","ESLint Disabled","components/marketplace/CatalogView.tsx",279,"// eslint-disable-next-line @next/next/no-img-element"
"lintErrors","Console Statement","components/AutoFixInitializer.tsx",9,"console.log('🚀 Initializing Auto-Fix System...');"
"lintErrors","Console Statement","components/AutoFixInitializer.tsx",18,"console.warn(`⚠️ ${failedChecks.length} health checks failed on startup`);"
"lintErrors","Console Statement","components/AutoFixInitializer.tsx",20,"console.log('✅ System health check passed on startup');"
"lintErrors","ESLint Disabled","src/server/models/marketplace/Product.ts",41,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lintErrors","Console Statement","test-system-e2e.js",16,"console.log(`✅ ${description}: ${res.statusCode} ${res.statusMessage}`);"
"lintErrors","Console Statement","test-system-e2e.js",21,"console.log(`❌ ${description}: ${err.message}`);"
"lintErrors","Console Statement","test-system-e2e.js",26,"console.log(`⏱️  ${description}: Timeout after 5s`);"
"lintErrors","Console Statement","test-system-e2e.js",36,"console.log('🚀 Starting E2E System Tests...\n');"
"lintErrors","Console Statement","test-system-e2e.js",67,"console.log('\n📊 Test Summary:');"
"lintErrors","Console Statement","test-system-e2e.js",71,"console.log(`✅ Successful: ${successful}/${total} (${Math.round(successful/total*100)}%)`);"
"lintErrors","Console Statement","test-system-e2e.js",74,"console.log('\n❌ Failed Routes:');"
"lintErrors","Console Statement","test-system-e2e.js",76,"console.log(`   ${r.path} - ${r.error || r.status}`);"
"lintErrors","Console Statement","test-system-e2e.js",80,"console.log(`\n🎯 Target: 100% completions - Current: ${Math.round(successful/total*100)}%`);"
"lintErrors","Expected TypeScript Error","lib/utils.test.ts",64,"// @ts-expect-error Testing runtime robustness against undefined"
"lintErrors","Expected TypeScript Error","lib/utils.test.ts",66,"// @ts-expect-error Testing runtime robustness against null"
"lintErrors","Expected TypeScript Error","lib/utils.test.ts",68,"// @ts-expect-error Testing runtime robustness against number"
"lintErrors","Expected TypeScript Error","lib/utils.test.ts",70,"// @ts-expect-error Testing runtime robustness against object"
"lintErrors","Console Statement","lib/database.ts",30,"console.log('✅ MongoDB connection closed gracefully');"
"lintErrors","Console Statement","lib/database.ts",37,"console.log('📡 Received SIGTERM, starting graceful shutdown...');"
"lintErrors","Console Statement","lib/database.ts",43,"console.log('📡 Received SIGINT, starting graceful shutdown...');"
"lintErrors","TypeScript Error Suppressed","lib/sla.spec.ts",89,"// @ts-ignore"
"lintErrors","TypeScript Error Suppressed","lib/sla.spec.ts",98,"// @ts-ignore"
"lintErrors","Console Statement","lib/AutoFixManager.ts",50,"console.log('🔧 Fixing auth API...');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",75,"console.log('🔧 Fixing help API...');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",99,"console.log('🔧 Fixing notifications API...');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",125,"console.log('🔧 Fixing database connection...');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",147,"console.log('🔧 Network offline - waiting for connection...');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",194,"console.log('🔧 Fixing localStorage...');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",224,"console.log('🔧 Fixing session management...');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",247,"console.log(`❌ ${check.name} failed, attempting fix...`);"
"lintErrors","Console Statement","lib/AutoFixManager.ts",293,"console.log('🤖 Auto-fix monitoring started');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",301,"console.warn(`⚠️ ${failedCount} health checks failed, auto-fixes applied`);"
"lintErrors","Console Statement","lib/AutoFixManager.ts",313,"console.log('⏹️ Auto-fix monitoring stopped');"
"lintErrors","Console Statement","lib/AutoFixManager.ts",368,"console.log('🚨 Emergency recovery initiated');"
"lintErrors","Console Statement","lib/auth.ts",45,"console.warn('Development/test environment detected: using fallback User implementation');"
"lintErrors","Console Statement","lib/auth.ts",79,"console.warn('⚠️ JWT_SECRET not set. Using ephemeral secret for development.');"
"lintErrors","Console Statement","lib/auth.ts",80,"console.warn('⚠️ Set JWT_SECRET environment variable for session persistence.');"
"lintErrors","ESLint Disabled","lib/markdown.ts",20,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lintErrors","Console Statement","lib/auth.test.ts",64,"// Helper to replace console.warn so we can assert ephemeral secret warnings"
"lintErrors","Console Statement","lib/db/index.ts",20,"console.log('📊 Creating indexes for core collections...');"
"lintErrors","ESLint Disabled","lib/db/index.ts",113,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lintErrors","Console Statement","lib/db/index.ts",119,"console.log(`  ✓ ${collection}: ${JSON.stringify(indexSpec.key)}`);"
"lintErrors","Console Statement","lib/db/index.ts",126,"console.warn(`  ⚠ ${collection}: ${mongoError.message || 'Unknown error'}`);"
"lintErrors","Console Statement","lib/db/index.ts",135,"console.log(`✅ Index creation complete: ${created} created, ${skipped} already existed`);"
"lintErrors","Console Statement","lib/payments/currencyUtils.ts",193,"console.warn(`No exchange rate available for ${fromCurrency} to ${toCurrency}`);"
"lintErrors","TypeScript Error Suppressed","lib/ats/scoring.test.ts",4,"// @ts-ignore"
"lintErrors","TypeScript Error Suppressed","lib/ats/scoring.test.ts",11,"// @ts-ignore testing runtime with non-string-like falsy converted upstream"
"lintErrors","TypeScript Error Suppressed","lib/ats/scoring.test.ts",13,"// @ts-ignore null as unexpected input"
"lintErrors","Expected TypeScript Error","lib/ats/scoring.test.ts",72,"// @ts-expect-error testing runtime behavior on null"
"lintErrors","Expected TypeScript Error","lib/ats/scoring.test.ts",74,"// @ts-expect-error testing runtime behavior on undefined"
"lintErrors","ESLint Disabled","lib/marketplace/context.ts",28,"// eslint-disable-next-line no-console"
"lintErrors","Console Statement","lib/marketplace/context.ts",29,"console.warn('Failed to decode marketplace JWT payload', { correlationId, message });"
"lintErrors","ESLint Disabled","lib/marketplace/context.ts",46,"// eslint-disable-next-line no-console"
"lintErrors","Console Statement","lib/marketplace/context.ts",47,"console.debug('Marketplace context header fallback failed', { key, correlationId, message });"
"lintErrors","ESLint Disabled","lib/marketplace/context.ts",64,"// eslint-disable-next-line no-console"
"lintErrors","Console Statement","lib/marketplace/context.ts",65,"console.debug('Marketplace context cookie fallback failed', { key, correlationId, message });"
"lintErrors","ESLint Disabled","lib/marketplace/serverFetch.ts",24,"// eslint-disable-next-line no-console"
"lintErrors","Console Statement","lib/marketplace/serverFetch.ts",25,"console.debug('[MarketplaceFetch] headers() unavailable', { correlationId, message });"
"lintErrors","ESLint Disabled","lib/marketplace/serverFetch.ts",60,"// eslint-disable-next-line no-console"
"lintErrors","Console Statement","lib/marketplace/serverFetch.ts",61,"console.debug('[MarketplaceFetch] cookies() unavailable', { correlationId: errorCorrelationId, message });"
"lintErrors","ESLint Disabled","lib/marketplace/serverFetch.ts",94,"// eslint-disable-next-line no-console"
"lintErrors","Console Statement","lib/marketplace/search.ts",48,"console.warn('Marketplace search synonyms unavailable, using defaults', error);"
"lintErrors","ESLint Disabled","lib/marketplace/search.ts",106,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lintErrors","ESLint Disabled","lib/marketplace/search.ts",128,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lintErrors","ESLint Disabled","lib/marketplace/search.ts",132,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lintErrors","ESLint Disabled","lib/marketplace/correlation.ts",61,"// eslint-disable-next-line no-console"
"lintErrors","ESLint Disabled","lib/mongodb-unified.ts",4,"// eslint-disable-next-line no-var, no-unused-vars"
"lintErrors","Console Statement","lib/mongodb-unified.ts",61,"console.log('✅ MongoDB connected successfully');"
"lintErrors","Console Statement","test_zatca.js",1,"console.log(""Testing ZATCA system...""); const crypto = require(""crypto""); const data = { seller: ""Test Seller"", buyer: ""Test Buyer"", total: 100, vat: "
"lintErrors","Console Statement","test_zatca.js",1,"console.log(""Testing ZATCA system...""); const crypto = require(""crypto""); const data = { seller: ""Test Seller"", buyer: ""Test Buyer"", total: 100, vat: "
"lintErrors","Console Statement","test_zatca.js",1,"console.log(""Testing ZATCA system...""); const crypto = require(""crypto""); const data = { seller: ""Test Seller"", buyer: ""Test Buyer"", total: 100, vat: "
"lintErrors","Console Statement","fix-unknown-types.js",12,"console.log('🔍 Analyzing TypeScript errors...');"
"lintErrors","Console Statement","fix-unknown-types.js",16,"console.log(`Found ${errorLines.length} 'unknown' type errors`);"
"lintErrors","Console Statement","fix-unknown-types.js",31,"console.log(`\n📁 Errors found in ${Object.keys(errorsByFile).length} files`);"
"lintErrors","Console Statement","fix-unknown-types.js",75,"console.log(`\n🔧 Processing ${file} (${errors.length} errors)`);"
"lintErrors","Console Statement","fix-unknown-types.js",78,"console.log(`   ✅ Fixed ${file}`);"
"lintErrors","Console Statement","fix-unknown-types.js",83,"console.log(`\n✨ Fixed ${fixedFiles} files`);"
"lintErrors","Console Statement","fix-unknown-types.js",84,"console.log('\n🔍 Re-running TypeScript check...');"
"lintErrors","Console Statement","fix-unknown-types.js",86,"console.log(`Remaining errors: ${newErrors.trim()}`);"
"lintErrors","Console Statement","setup.js",1,"const fs = require('fs'); const write = (f, c) => { fs.mkdirSync(require('path').dirname(f), {recursive:true}); fs.writeFileSync(f, c.trim(), 'utf8');"
"lintErrors","Console Statement","analyze-imports.js",30,"console.log('==========================================');"
"lintErrors","Console Statement","analyze-imports.js",31,"console.log('COMPREHENSIVE IMPORT ANALYSIS');"
"lintErrors","Console Statement","analyze-imports.js",32,"console.log('==========================================\n');"
"lintErrors","Console Statement","analyze-imports.js",33,"console.log(`Total files: ${files.length}\n`);"
"lintErrors","Console Statement","analyze-imports.js",106,"console.log('==========================================');"
"lintErrors","Console Statement","analyze-imports.js",107,"console.log('IMPORT STATISTICS');"
"lintErrors","Console Statement","analyze-imports.js",108,"console.log('==========================================\n');"
"lintErrors","Console Statement","analyze-imports.js",110,"console.log(`External packages: ${importStats.external.size}`);"
"lintErrors","Console Statement","analyze-imports.js",111,"console.log(`Relative imports: ${importStats.relative.length}`);"
"lintErrors","Console Statement","analyze-imports.js",112,"console.log(`Absolute imports (@/): ${importStats.absolute.length}`);"
"lintErrors","Console Statement","analyze-imports.js",113,"console.log(`Node builtins: ${importStats.nodeBuiltin.size}\n`);"
"lintErrors","Console Statement","analyze-imports.js",115,"console.log('==========================================');"
"lintErrors","Console Statement","analyze-imports.js",116,"console.log('TOP 20 EXTERNAL PACKAGES');"
"lintErrors","Console Statement","analyze-imports.js",117,"console.log('==========================================\n');"
"lintErrors","Console Statement","analyze-imports.js",125,"console.log(`${status} ${pkg.padEnd(40)} (${count} imports)`);"
"lintErrors","Console Statement","analyze-imports.js",128,"console.log('\n==========================================');"
"lintErrors","Console Statement","analyze-imports.js",129,"console.log('NODE BUILTIN MODULES');"
"lintErrors","Console Statement","analyze-imports.js",130,"console.log('==========================================\n');"
"lintErrors","Console Statement","analyze-imports.js",133,"console.log(`  - ${mod}`);"
"lintErrors","Console Statement","analyze-imports.js",136,"console.log('\n==========================================');"
"lintErrors","Console Statement","analyze-imports.js",137,"console.log('ISSUES FOUND');"
"lintErrors","Console Statement","analyze-imports.js",138,"console.log('==========================================\n');"
"lintErrors","Console Statement","analyze-imports.js",142,"console.log(`❌ MISSING PACKAGES (${importStats.missing.length} imports)`);"
"lintErrors","Console Statement","analyze-imports.js",143,"console.log('Packages imported but not in package.json:\n');"
"lintErrors","Console Statement","analyze-imports.js",152,"console.log(`  ${pkg} (${files.length} files)`);"
"lintErrors","Console Statement","analyze-imports.js",153,"files.slice(0, 3).forEach(f => console.log(`    - ${f}`));"
"lintErrors","Console Statement","analyze-imports.js",154,"if (files.length > 3) console.log(`    ... and ${files.length - 3} more`);"
"lintErrors","Console Statement","analyze-imports.js",156,"console.log('');"
"lintErrors","Console Statement","analyze-imports.js",158,"console.log('✅ All external packages are in package.json\n');"
"lintErrors","Console Statement","analyze-imports.js",163,"console.log(`❌ BROKEN RELATIVE IMPORTS (${importStats.broken.length})`);"
"lintErrors","Console Statement","analyze-imports.js",164,"console.log('Files that may not exist:\n');"
"lintErrors","Console Statement","analyze-imports.js",167,"console.log(`  ${file}:${line}`);"
